2026-01-25 19:15:10 | llm_router | INFO | Detected intent: segment_analysis
2026-01-31 07:30:40 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 07:30:40 | llm_router | INFO | answer_query finished normally
2026-01-31 07:31:48 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:31:48 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=True
2026-01-31 07:31:48 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:31:48 | llm_router | INFO | Skipping member recos load (RI_DISABLE_MEMBER_RECOS=1)
2026-01-31 07:31:48 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 07:31:48 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 07:31:48 | llm_router | INFO | Messages built; count=2
2026-01-31 07:31:48 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 07:31:48 | llm_router | INFO | answer_query finished normally
2026-01-31 07:31:53 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:31:53 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=True
2026-01-31 07:31:53 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:31:53 | llm_router | INFO | Skipping member recos load (RI_DISABLE_MEMBER_RECOS=1)
2026-01-31 07:31:53 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 07:31:53 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 07:31:53 | llm_router | INFO | Messages built; count=2
2026-01-31 07:31:53 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 07:31:53 | llm_router | INFO | answer_query finished normally
2026-01-31 07:32:11 | llm_router | INFO | answer_query start, member=None
2026-01-31 07:32:11 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=True
2026-01-31 07:32:11 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:32:11 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 07:32:11 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 07:32:11 | llm_router | INFO | Messages built; count=2
2026-01-31 07:32:11 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 07:32:11 | llm_router | INFO | answer_query finished normally
2026-01-31 07:47:12 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:47:12 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 07:47:12 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:47:12 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 07:47:42 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:47:42 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 07:47:42 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:47:42 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 07:48:09 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:48:09 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 07:48:09 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:48:09 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:04:19 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:04:19 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=True
2026-01-31 08:04:19 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:04:19 | llm_router | INFO | Skipping member recos load (RI_DISABLE_MEMBER_RECOS=1)
2026-01-31 08:04:19 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 08:04:19 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:04:19 | llm_router | INFO | Messages built; count=2
2026-01-31 08:04:19 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:04:19 | llm_router | INFO | answer_query finished normally
2026-01-31 08:05:33 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:05:33 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 08:05:33 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:05:33 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:05:33 | llm_router | ERROR | Failed to load member recos for 1234: name 'pq' is not defined
2026-01-31 08:05:33 | llm_router | INFO | Loaded 0 member recos
2026-01-31 08:05:33 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 08:05:33 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:05:33 | llm_router | INFO | Messages built; count=2
2026-01-31 08:05:33 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:05:33 | llm_router | INFO | answer_query finished normally
2026-01-31 08:26:55 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:26:55 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 08:26:55 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:26:55 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:26:55 | llm_router | INFO | Loaded 5 member recos
2026-01-31 08:26:55 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 08:26:55 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:26:55 | llm_router | INFO | Messages built; count=2
2026-01-31 08:26:55 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:26:55 | llm_router | INFO | answer_query finished normally
2026-01-31 08:28:42 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:28:42 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=False
2026-01-31 08:28:42 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:28:42 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:28:42 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 08:28:42 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 08:28:42 | llm_router | INFO | Loaded 5 member recos
2026-01-31 08:28:42 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 08:28:42 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:28:42 | llm_router | INFO | Messages built; count=2
2026-01-31 08:28:42 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:28:42 | llm_router | INFO | answer_query finished normally
2026-01-31 08:32:45 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:32:45 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=True, disable_member_recos=False
2026-01-31 08:32:45 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:32:45 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:32:45 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 08:32:45 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 08:32:45 | llm_router | INFO | Loaded 5 member recos
2026-01-31 08:32:45 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 08:32:54 | llm_router | INFO | Retrieved 10 facts
2026-01-31 08:32:54 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:32:54 | llm_router | INFO | Messages built; count=2
2026-01-31 08:32:54 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:32:54 | llm_router | INFO | answer_query finished normally
2026-01-31 08:33:01 | llm_router | INFO | answer_query start, member=1234
2026-01-31 08:33:01 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=True, disable_member_recos=False
2026-01-31 08:33:01 | llm_router | INFO | Detected intent: member_nba
2026-01-31 08:33:01 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 08:33:01 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 08:33:01 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 08:33:01 | llm_router | INFO | Loaded 5 member recos
2026-01-31 08:33:01 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 08:33:05 | llm_router | INFO | Retrieved 10 facts
2026-01-31 08:33:05 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 08:33:05 | llm_router | INFO | Messages built; count=2
2026-01-31 08:33:05 | llm_router | INFO | RI_DISABLE_OLLAMA=1, using fallback answer
2026-01-31 08:33:05 | llm_router | INFO | answer_query finished normally
2026-01-31 11:04:47 | llm_router | INFO | answer_query start, member=1234
2026-01-31 11:04:47 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 11:04:47 | llm_router | INFO | Detected intent: member_nba
2026-01-31 11:04:47 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 11:04:47 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 11:04:47 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 11:04:47 | llm_router | INFO | Loaded 5 member recos
2026-01-31 11:04:47 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 11:04:59 | llm_router | INFO | Retrieved 10 facts
2026-01-31 11:04:59 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 11:04:59 | llm_router | INFO | Messages built; count=2
2026-01-31 11:04:59 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 11:05:16 | llm_router | INFO | answer_query finished normally
2026-01-31 11:06:23 | llm_router | INFO | answer_query start, member=1234
2026-01-31 11:06:23 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 11:06:23 | llm_router | INFO | Detected intent: member_nba
2026-01-31 11:06:23 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 11:06:23 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 11:06:23 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 11:06:23 | llm_router | INFO | Loaded 5 member recos
2026-01-31 11:06:23 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 11:06:27 | llm_router | INFO | Retrieved 10 facts
2026-01-31 11:06:27 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 11:06:27 | llm_router | INFO | Messages built; count=2
2026-01-31 11:06:27 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 11:06:34 | llm_router | INFO | answer_query finished normally
2026-01-31 11:06:50 | llm_router | INFO | answer_query start, member=1234
2026-01-31 11:06:50 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 11:06:50 | llm_router | INFO | Detected intent: member_nba
2026-01-31 11:06:50 | llm_router | INFO | Loading member recos for membership_nbr=1234
2026-01-31 11:06:50 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 1234
2026-01-31 11:06:50 | llm_router | INFO | Returning 5 member recos to LLM for 1234
2026-01-31 11:06:50 | llm_router | INFO | Loaded 5 member recos
2026-01-31 11:06:50 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 11:06:54 | llm_router | INFO | Retrieved 10 facts
2026-01-31 11:06:54 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 11:06:54 | llm_router | INFO | Messages built; count=2
2026-01-31 11:06:54 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 11:07:02 | llm_router | INFO | answer_query finished normally
2026-01-31 11:49:11 | llm_router | INFO | answer_query start, member=123456
2026-01-31 11:49:11 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 11:49:11 | llm_router | INFO | Detected intent: member_nba
2026-01-31 11:49:11 | llm_router | INFO | Loading member recos for membership_nbr=123456
2026-01-31 11:49:11 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 123456
2026-01-31 11:49:11 | llm_router | INFO | Returning 5 member recos to LLM for 123456
2026-01-31 11:49:11 | llm_router | INFO | Loaded 5 member recos
2026-01-31 11:49:11 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 11:49:15 | llm_router | INFO | Retrieved 10 facts
2026-01-31 11:49:15 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 11:49:15 | llm_router | INFO | Messages built; count=2
2026-01-31 11:49:15 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 11:49:24 | llm_router | INFO | answer_query finished normally
2026-01-31 16:29:01 | llm_router | INFO | answer_query start, member=123456
2026-01-31 16:29:01 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 16:29:01 | llm_router | INFO | Detected intent: member_nba
2026-01-31 16:29:01 | llm_router | INFO | Loading member recos for membership_nbr=123456
2026-01-31 16:29:01 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 123456
2026-01-31 16:29:01 | llm_router | INFO | Returning 5 member recos to LLM for 123456
2026-01-31 16:29:01 | llm_router | INFO | Loaded 5 member recos
2026-01-31 16:29:01 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 16:29:12 | llm_router | INFO | answer_query start, member=123
2026-01-31 16:29:12 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 16:29:12 | llm_router | INFO | Detected intent: member_nba
2026-01-31 16:29:12 | llm_router | INFO | Loading member recos for membership_nbr=123
2026-01-31 16:29:12 | llm_router | INFO | Loaded 5 member recos via pyarrow filter for 123
2026-01-31 16:29:12 | llm_router | INFO | Returning 5 member recos to LLM for 123
2026-01-31 16:29:12 | llm_router | INFO | Loaded 5 member recos
2026-01-31 16:29:12 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 16:29:17 | llm_router | INFO | Retrieved 10 facts
2026-01-31 16:29:17 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 16:29:17 | llm_router | INFO | Messages built; count=2
2026-01-31 16:29:17 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 16:29:27 | llm_router | INFO | Retrieved 10 facts
2026-01-31 16:29:27 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 16:29:27 | llm_router | INFO | Messages built; count=2
2026-01-31 16:29:27 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 16:29:27 | llm_router | INFO | answer_query finished normally
2026-01-31 16:29:32 | llm_router | INFO | answer_query finished normally
2026-01-31 22:52:27 | llm_router | INFO | answer_query start, member=123456
2026-01-31 22:52:27 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 22:52:27 | llm_router | INFO | Detected intent: segment_analysis
2026-01-31 22:52:27 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 22:52:31 | llm_router | INFO | Retrieved 10 facts
2026-01-31 22:52:31 | llm_router | INFO | Building messages for intent=segment_analysis
2026-01-31 22:52:31 | llm_router | INFO | Messages built; count=2
2026-01-31 22:52:31 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 22:52:31 | llm_router | INFO | answer_query finished normally
2026-01-31 23:21:01 | llm_router | INFO | answer_query start, member=123456
2026-01-31 23:21:01 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=False, disable_ollama=False, disable_member_recos=False
2026-01-31 23:21:01 | llm_router | INFO | Detected intent: segment_analysis
2026-01-31 23:21:01 | llm_router | INFO | Loading vector store and searching facts
2026-01-31 23:21:05 | llm_router | INFO | Retrieved 10 facts
2026-01-31 23:21:05 | llm_router | INFO | Building messages for intent=segment_analysis
2026-01-31 23:21:05 | llm_router | INFO | Messages built; count=2
2026-01-31 23:21:05 | llm_router | INFO | Calling Ollama client.chat()
2026-01-31 23:21:05 | llm_router | INFO | answer_query finished normally
